REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
EAST OF ENGLAND,NEWNHAM WALK SURGERY,D81005,CB3 9HS,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,HAMPTON MEDICAL CENTRE,D81630,PE7 8DR,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOTOLPH BRIDGE COMMUNITY HEALTH CENTRE,Y00486,PE2 9QB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,EAST BARNWELL HEALTH CENTRE,D81086,CB5 8SP,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OCTAGON MEDICAL PRACTICE,D81022,PE6 0SD,1,13,13,952.25,886.46837,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OCTAGON MEDICAL PRACTICE,D81022,PE6 0SD,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,EAST BARNWELL HEALTH CENTRE,D81086,CB5 8SP,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,EAST BARNWELL HEALTH CENTRE,D81086,CB5 8SP,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOURN SURGERY,D81041,CB23 2SH,1,2,2,146.5,136.35495,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOTTISHAM MEDICAL PRACTICE,D81055,CB25 9DU,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOTTISHAM MEDICAL PRACTICE,D81055,CB25 9DU,1,2,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CATHEDRAL MEDICAL CENTRE,Y00185,CB6 1DN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,HUNTINGDON ROAD SURGERY,D81002,CB3 0DB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOURN SURGERY,D81041,CB23 2SH,1,9,9,659.25,613.59727,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,SPINNEY SURGERY,D81049,PE27 3TP,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,FENLAND GROUP PRACTICE,D81611,PE15 0GN,1,2,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MOAT HOUSE SURGERY,D81060,PE28 2RQ,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,THISTLEMOOR MEDICAL CENTRE,D81625,PE1 3HP,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,FENLAND GROUP PRACTICE,D81611,PE15 0GN,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,LAKESIDE HEALTHCARE ST NEOTS,D81057,PE19 1BQ,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,"ORCHARD SURGERY,MELBOURN",D81018,SG8 6BX,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,THISTLEMOOR MEDICAL CENTRE,D81625,PE1 3HP,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,THORPE ROAD,D81615,PE3 6AP,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,FENLAND GROUP PRACTICE,D81611,PE15 0GN,1,13,13,952.25,886.38157,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,FENLAND GROUP PRACTICE,D81611,PE15 0GN,4,2,8,586.0,545.4198,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,RAMSEY HEALTH CENTRE,D81059,PE26 1BP,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,SPINNEY SURGERY,D81049,PE27 3TP,1,7,7,512.75,477.29192,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,THE HEALTH CENTRE PRACTICE,E82072,SG8 7BS,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PAPWORTH SURGERY,D81085,CB23 3QQ,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,STAPLOE MEDICAL CENTRE,D81014,CB7 5JD,1,5,5,366.25,340.94937,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,WELLSIDE SURGERY,D81027,PE28 5SU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CATHEDRAL MEDICAL CENTRE,Y00185,CB6 1DN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,WELLSIDE SURGERY,D81027,PE28 5SU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OLD FLETTON SURGERY,D81029,PE2 8AY,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,ARBURY ROAD SURGERY,D81016,CB4 2JG,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CATHEDRAL MEDICAL CENTRE,Y00185,CB6 1DN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,GROVE MEDICAL PRACTICE,D81030,PE27 5JD,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OUNDLE,K83023,PE8 4JA,1,2,2,146.5,136.35495,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,NEWNHAM WALK SURGERY,D81005,CB3 9HS,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOROUGHBURY MEDICAL CENTRE,D81026,PE1 2EJ,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 3mg tablets,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,RAMSEY HEALTH CENTRE,D81059,PE26 1BP,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MOAT HOUSE SURGERY,D81060,PE28 2RQ,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PRIORS FIELD SURGERY,D81036,CB6 2RB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOURN SURGERY,D81041,CB23 2SH,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MONKFIELD MEDICAL PRACTICE,D81637,CB23 6HL,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,NORTH BRINK PRACTICE,D81008,PE13 1JU,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,GEORGE CLARE SURGERY,D81061,PE16 6EX,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,THE HICKS GROUP PRACTICE,D81050,PE29 3EZ,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,ROYSIA SURGERY,E82132,SG8 5PT,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,STAPLOE MEDICAL CENTRE,D81014,CB7 5JD,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PASTON HEALTH CENTRE,D81023,PE4 7DH,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,TRINITY SURGERY,D81622,PE13 3UZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CATHEDRAL MEDICAL CENTRE,Y00185,CB6 1DN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,KIMBOLTON MEDICAL CENTRE,D81038,PE28 0JF,1,4,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CORNFORD HOUSE SURGERY,D81012,CB1 8BA,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MOAT HOUSE SURGERY,D81060,PE28 2RQ,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OCTAGON MEDICAL PRACTICE,D81022,PE6 0SD,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CORNERSTONE PRACTICE,D81052,PE15 9BF,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MOAT HOUSE SURGERY,D81060,PE28 2RQ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PRIORS FIELD SURGERY,D81036,CB6 2RB,4,1,4,293.0,272.7099,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,RIVERPORT MEDICAL PRACTICE,D81606,PE27 3ER,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,GROVE MEDICAL PRACTICE,D81030,PE27 5JD,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,GRANTA MEDICAL PRACTICES,D81043,CB22 3HU,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,YAXLEY GROUP PRACTICE,D81031,PE7 3JL,1,8,8,586.0,545.519,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,HADDENHAM SURGERY,D81062,CB6 3TA,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,YAXLEY GROUP PRACTICE,D81031,PE7 3JL,1,11,11,805.75,750.08862,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOROUGHBURY MEDICAL CENTRE,D81026,PE1 2EJ,1,32,32,2344.0,2182.07598,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OUNDLE,K83023,PE8 4JA,1,2,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,RED HOUSE SURGERY,D81054,CB4 1ER,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OUNDLE,K83023,PE8 4JA,1,2,2,146.5,136.35495,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,NEW QUEEN STREET SURGERY,D81046,PE7 1AT,1,6,6,439.5,409.12685,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,ST NEOTS HEALTH CENTRE,Y02769,PE19 1AG,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,NEW QUEEN STREET SURGERY,D81046,PE7 1AT,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MERCHEFORD HOUSE,D81064,PE15 9BY,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,ST. GEORGE'S MEDICAL CENTRE,D81021,CB6 1JU,1,11,11,805.75,750.07622,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,STAPLOE MEDICAL CENTRE,D81014,CB7 5JD,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,WESTWOOD CLINIC,D81073,PE3 7JW,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,SPINNEY SURGERY,D81049,PE27 3TP,1,6,6,439.5,409.12685,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,ST. GEORGE'S MEDICAL CENTRE,D81021,CB6 1JU,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOTOLPH BRIDGE COMMUNITY HEALTH CENTRE,Y00486,PE2 9QB,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OCTAGON MEDICAL PRACTICE,D81022,PE6 0SD,1,23,23,1684.75,1568.36711,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,WANSFORD,K83017,PE8 6PL,1,7,7,512.75,477.31672,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PRIORY FIELDS SURGERY,D81010,PE29 3RL,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,NEW QUEEN STREET SURGERY,D81046,PE7 1AT,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PASTON HEALTH CENTRE,D81023,PE4 7DH,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PAPWORTH SURGERY,D81085,CB23 3QQ,1,5,5,366.25,340.92457,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PARSON DROVE SURGERY,D81015,PE13 4LF,2,1,2,146.5,136.35495,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MERCHEFORD HOUSE,D81064,PE15 9BY,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,ACORN SURGERY,D81633,PE29 7HN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BURWELL SURGERY,D81051,CB25 0AE,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,NEW QUEEN STREET SURGERY,D81046,PE7 1AT,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,RAMSEY HEALTH CENTRE,D81059,PE26 1BP,1,9,9,659.25,613.65927,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,KIMBOLTON MEDICAL CENTRE,D81038,PE28 0JF,1,4,4,293.0,272.7347,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,YAXLEY GROUP PRACTICE,D81031,PE7 3JL,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,GEORGE CLARE SURGERY,D81061,PE16 6EX,1,8,8,586.0,545.519,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CHERRY HINTON MEDICAL CENTRE,D81025,CB1 9HR,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,MERCHEFORD HOUSE,D81064,PE15 9BY,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,HADDENHAM SURGERY,D81062,CB6 3TA,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,WILLINGHAM MEDICAL PRACTICE,D81084,CB24 5LB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,PAPWORTH SURGERY,D81085,CB23 3QQ,1,15,15,1098.75,1022.84812,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,RED HOUSE SURGERY,D81054,CB4 1ER,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,BOROUGHBURY MEDICAL CENTRE,D81026,PE1 2EJ,1,11,11,805.75,750.08862,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,CENTRAL MEDICAL CENTRE,D81631,PE1 3BF,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
EAST OF ENGLAND,OVER SURGERY,D81033,CB24 5NZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CAMBRIDGESHIRE & PETERBOROUGH STP
