REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
MIDLANDS,CHARLTON MEDICAL PRACTICE,M82007,TF2 6AQ,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,SHROPSHIRE & TELFORD & WREKIN STP
EAST OF ENGLAND,STOWHEALTH,D83044,IP14 1NL,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,SUFFOLK & NORTH EAST ESSEX STP
NORTH EAST AND YORKSHIRE,EAST WING PRACTICE,A88613,NE32 3UX,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,CUMBRIA & NORTH EAST STP
NORTH EAST AND YORKSHIRE,WENLOCK ROAD SURGERY,A88005,NE34 9BP,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CUMBRIA & NORTH EAST STP
NORTH WEST,ST. LAURENCE'S MEDICAL CENTRE,N83033,L32 9QU,1,6,6,439.5,409.13925,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
SOUTH EAST,ESPLANADE SURGERY,J84005,PO33 2EH,1,7,7,512.75,477.32912,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HAMPSHIRE & THE ISLE OF WIGHT STP
NORTH EAST AND YORKSHIRE,HAXBY GROUP PRACTICE,B82026,YO32 2LL,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,"HUMBER, COAST & VALE STP"
NORTH WEST,STOCKBRIDGE VILLAGE HC,N83018,L28 1ST,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CHESHIRE & MERSEYSIDE STP
LONDON,CROMPTON MEDICAL CENTRE,E87052,W2 1ND,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,ECCLESTON MEDICAL CENTRE,N83614,WA10 5RG,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
EAST OF ENGLAND,STOPSLEY VILLAGE PRACTICE,E81006,LU2 9AU,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
EAST OF ENGLAND,DR JK MARSDEN'S PRACTICE,E81018,LU3 1RW,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
SOUTH WEST,POOLE ROAD MEDICAL CENTRE,J81004,BH2 5QR,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,DORSET STP
