mes,sustancia,status,filas,detalle
202502,Exenatide,ok,1509.0,
202502,Lixisenatide,ok,10.0,
202502,Tirzepatide,ok,32645.0,
202503,Semaglutide,ok,38644.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202503,Liraglutide,ok,715.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202503,Dulaglutide,ok,18561.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202503,Exenatide,ok,1429.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202503,Lixisenatide,ok,4.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202503,Tirzepatide,ok,35204.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202504,Semaglutide,ok,38822.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202504,Liraglutide,ok,732.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202504,Dulaglutide,ok,18382.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202504,Exenatide,ok,1377.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202504,Lixisenatide,ok,2.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202504,Tirzepatide,ok,36929.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202505,Semaglutide,ok,39685.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202505,Liraglutide,ok,766.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202505,Dulaglutide,ok,18541.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202505,Exenatide,ok,1313.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202505,Lixisenatide,ok,3.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202505,Tirzepatide,ok,39595.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202506,Semaglutide,ok,39149.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202506,Liraglutide,ok,777.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202506,Dulaglutide,ok,18043.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202506,Exenatide,ok,1245.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202506,Lixisenatide,ok,3.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202506,Tirzepatide,ok,41091.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202507,Semaglutide,ok,39998.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202507,Liraglutide,ok,859.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202507,Dulaglutide,ok,18327.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202507,Exenatide,ok,1213.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202507,Lixisenatide,ok,8.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202507,Tirzepatide,ok,43536.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202508,Semaglutide,ok,38681.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202508,Liraglutide,ok,895.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202508,Dulaglutide,ok,17454.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202508,Exenatide,ok,1139.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202508,Lixisenatide,ok,3.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202508,Tirzepatide,ok,40695.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
